Q96SW2	Q96SW2
P16790	P16790
P25604	P25604
O15205	O15205
O15205	P62980
O15205	P0CH06
O15205	P0CH07
O15205	P0C016
O15205	P0C8R3
O15205	P0CG48
O15205	P0CG72
O15205	P0CG63
O15205	P0CG53
O15205	P0CG47
O15205	Q15843
P39019	P39019
Q9V3J8	Q9V3J8
Q9V3J8	P61964
Q9V3J8	Q9VZF4
Q9V3J8	Q969H0
Q9V3J8	P63244
Q9V3J8	Q9BRX9
Q9A2T6	Q9A2T6
Q01844	Q01844
Q01844	P56959
P31150	P31150
Q8GYN5	Q8GYN5
P50456	P50456
P38634	P38634
Q4W5X0	Q4W5X0
Q4W5X0	O95985
Q8YZH5	Q8YZH5
Q8YZH5	Q7X386
Q7Z3S9	Q7Z3S9
Q7Z3S9	Q2PZL6
Q7Z3S9	O00468
Q10567	Q10567
Q10567	Q9DBG3
Q10567	P63010
Q10567	P63009
Q10567	P62944
Q10567	Q9Y6B7
P53048	P53048
O15360	O15360
Q96S15	Q96S15
Q79V61	Q79V61
Q79V61	Q79PF5
Q96PE7	Q96PE7
P47119	P47119
O00471	O00471
Q13164	Q13164
Q13164	P53779
Q13164	P49185
Q13164	Q61831
Q13164	P45983
Q13164	B5BUJ7
Q13164	Q8WQG9
Q13164	P45984
Q13164	Q54QB1
Q13164	P14681
Q13164	Q9SJG9
Q13164	Q8IVW4
Q13164	P49615
Q13164	P47811
Q13164	Q16539
Q13164	Q00534
Q13164	P11802
Q13164	P30285
Q13164	Q9UQ88
Q13164	Q04735
Q13164	Q00536
Q13164	O94921
Q13164	Q15131
Q13164	P24941
Q13164	P06493
Q13164	Q9U9Y8
Q13164	Q39026
Q13164	Q39024
Q13164	Q9LQQ9
Q13164	Q9LMM5
Q13164	Q9M1Z5
Q13164	Q9UBE8
Q13164	Q00772
Q13164	Q63844
Q13164	P28482
Q13164	P63086
Q13164	P40417
Q13164	P63085
Q13164	P27361
Q13164	P00546
Q13164	P04551
Q9W0N9	Q9W0N9
P12554	P12554
Q9XUS9	Q9XUS9
Q9XUS9	Q9H0H5
Q9SU72	Q9SU72
Q8TDT2	Q8TDT2
Q13155	Q13155
Q13155	Q9WVM7
P53323	P53323
P53323	Q96S44
P02545	P02545
P02545	P20700
Q54450	Q54450
Q07794	Q07794
P13798	P13798
Q43125	Q43125
Q43125	Q96524
Q6NZ36	Q6NZ36
Q08209	Q08209
Q08209	P63328
Q08209	P48727
Q08209	P36874
Q08209	P13681
Q08209	P36873
Q08209	Q8ILV1
Q08209	P62140
Q08209	P63088
Q08209	Q27497
Q08209	P32598
Q08209	Q3T0E7
Q08209	P23595
Q08209	P63330
Q08209	P63331
Q08209	P60510
Q08209	P20604
Q08209	Q60676
Q08209	P53041
Q5T686	Q5T686
Q96B67	Q96B67
A4D1P6	A4D1P6
Q6ZNE9	Q6ZNE9
Q9NR80	Q9NR80
Q9NR80	Q64096
Q9NR80	Q9H7P9
Q13084	Q13084
P07834	P07834
P07834	O14170
Q12929	Q12929
Q12929	Q08509
Q969S6	Q969S6
A0A142I9X8	A0A142I9X8
P40855	P40855
Q15008	Q15008
Q15008	Q9V3G7
Q7DDR9	Q7DDR9
Q6ZN57	Q6ZN57
Q6ZN57	Q61602
Q6ZN57	P10071
Q6ZN57	P08151
Q6ZN57	Q0VGT2
Q6ZN57	P19538
Q6ZN57	Q8NEA6
Q6ZN57	Q9HAZ2
Q6ZN57	A2A935
L1J207	L1J207
P56658	P56658
Q96EA4	Q96EA4
Q9NPC3	Q9NPC3
Q9P0L0	Q9P0L0
Q9P0L0	Q9Z270
Q9P0L0	O95292
Q9P0L0	P40075
Q9P0L0	Q9SHC8
P36041	P36041
P39968	P39968
Q8TD31	Q8TD31
P30203	P30203
Q96RU3	Q96RU3
Q96RU3	Q8R511
Q96RU3	Q5T0N5
Q8IW19	Q8IW19
O14156	O14156
P0A8V2	P0A8V2
P0A8V2	P77965
P0A8V2	P37870
P0A8V2	P0CE09
P0A8V2	P9WGY9
O43482	O43482
O00631	O00631
P04792	P04792
P04792	P24623
P04792	P02489
P04792	P23927
P04792	Q9UJY1
P33671	P33671
P33671	O75056
P33671	A0A0S2Z4U3
P33671	P26260
P33671	P18827
P33671	P34901
P33671	P34741
P33671	P34900
P74746	P74746
P22892	P22892
P22892	O43747
P22892	B2RYN6
P22892	O75843
P22892	Q8R525
P25344	P25344
Q5ZMQ7	Q5ZMQ7
Q5ZMQ7	Q96B97
Q5ZMQ7	Q9Y5K6
Q60838	Q60838
Q60838	O14641
Q60838	O14640
Q60838	P51141
Q60838	Q86TH3
Q60838	Q92997
Q60838	Q61062
Q60838	P51140
Q08176	Q08176
Q96RJ6	Q96RJ6
Q96RJ6	Q60867
Q96RJ6	Q9Y4Z2
Q96RJ6	P26687
Q96RJ6	Q15672
Q96RJ6	Q61039
G5ECG0	G5ECG0
Q8IY31	Q8IY31
G3HQM6	G3HQM6
G3HQM6	P07901
G3HQM6	P08238
G3HQM6	Q18688
G3HQM6	Q0Q0I7
G3HQM6	Q7XJ80
G3HQM6	P55737
G3HQM6	P02829
G3HQM6	Q12931
P31742	P31742
Q53XC2	Q53XC2
Q53XC2	P49770
P53068	P53068
P18848	P18848
P18848	Q06507
Q8R5B6	Q8R5B6
Q8R5B6	Q9D5L7
Q8R5B6	O88838
Q8R5B6	Q99619
Q8R5B6	Q5XPI4
O60832	O60832
P58397	P58397
P58397	Q6UY14
P58397	Q76LX8
Q9UI10	Q9UI10
Q9UI10	Q14232
B8GX61	B8GX61
Q7L591	Q7L591
Q7L591	O60496
Q7L591	P97465
O34483	O34483
Q9UPQ8	Q9UPQ8
Q8R4L0	Q8R4L0
Q6ZWX6	Q6ZWX6
O15151	O15151
O15151	P23804
Q86V38	Q86V38
Q86V38	P54259
P34027	P34027
Q8N8B7	Q8N8B7
O81836	O81836
Q8YY42	Q8YY42
P20227	P20227
P20227	P13393
P20227	Q8ST28
P20227	P28148
P20227	P20226
O15027	O15027
O15027	E9QAT4
Q96MT3	Q96MT3
Q96MT3	Q9UGI8
Q56NL1	Q56NL1
Q56NL1	Q5EGZ1
Q56NL1	Q9BYF1
O60907	O60907
O60907	Q9BZK7
O60907	O76071
P40487	P40487
Q9BV36	Q9BV36
Q9BV36	Q91V27
Q13794	Q13794
Q9BX63	Q9BX63
Q12234	Q12234
Q5ST30	Q5ST30
Q5ST30	Q55522
Q6DKK2	Q6DKK2
Q8N114	Q8N114
Q5PSV4	Q5PSV4
Q5PSV4	Q9HCU9
P44868	P44868
Q8WTR4	Q8WTR4
Q8WTR4	Q3KTM2
Q09763	Q09763
Q03707	Q03707
Q03707	Q03281
Q61187	Q61187
Q61187	Q99816
O48963	O48963
O48963	Q17941
O48963	P31749
O48963	P31750
O48963	P47196
O48963	P31751
O48963	P00517
O48963	P27791
O48963	P53739
O48963	Q19266
O48963	Q5I6E9
O48963	O64682
O48963	A6MW92
O48963	Q9LSF1
O48963	Q16513
O48963	Q5I6E8
O48963	Q9XF67
O48963	Q9UQB9
O48963	P38991
O48963	Q9VA38
O48963	Q02156
O48963	P09216
O48963	P05771
O48963	P68403
O48963	Q05513
O48963	P05130
O48963	P41743
O48963	A1Z9X0
O48963	O22932
O48963	Q62074
O48963	P17252
O48963	P05129
O48963	P24723
O48963	O54874
O48963	Q5VT25
O48963	P53894
O48963	Q04759
O48963	Q05655
O48963	Q15208
O48963	Q9Y2H1
O48963	P22204
O48963	O75582
O48963	P70335
O48963	Q13976
O48963	Q6P0Q8
O48963	O60307
O48963	Q60592
O48963	P11792
O48963	O00141
O48963	P12688
O48963	P18654
O48963	Q9PTN1
O48963	P23443
O48963	Q15349
O48963	Q15418
O48963	Q9LDI3
O48963	P34947
O48963	P43250
O48963	O70293
O48963	P25098
O48963	P21146
P38862	P38862
O74991	O74991
Q9VQ91	Q9VQ91
Q921E6	Q921E6
P11473	P11473
P22307	P22307
Q15046	Q15046
Q15046	P37879
O14602	O14602
Q9Y7R3	Q9Y7R3
Q53HV7	Q53HV7
Q15633	Q15633
Q15633	O75569
Q9NRS6	Q9NRS6
Q9NRS6	O60749
Q8CFP6	Q8CFP6
Q8CFP6	P36019
Q8CFP6	Q9UL25
Q8CFP6	P35282
Q8CFP6	Q9NP72
Q8CFP6	P51159
Q8CFP6	Q99P58
Q8CFP6	Q9ERI2
Q8CFP6	O00194
Q8CFP6	P51148
Q8CFP6	P20339
Q8CFP6	P61020
Q9H205	Q9H205
Q9H205	O95221
Q9VGS2	Q9VGS2
Q4Q3K2	Q4Q3K2
Q15506	Q15506
Q92917	Q92917
Q8NA57	Q8NA57
Q14849	Q14849
Q14849	O95772
Q14849	P49675
Q14849	P51557
O95631	O95631
O95631	O09118
O95631	Q9Y2I2
O95631	Q96CW9
K0BWD0	K0BWD0
K0BWD0	P0C6U8
K0BWD0	X2G6C4
Q71U36	Q71U36
Q71U36	P0DPH8
Q71U36	P68366
Q71U36	Q9BUF5
Q71U36	P04350
Q71U36	P29517
Q71U36	Q9BVA1
Q71U36	P07437
Q01253	Q01253
Q92743	Q92743
Q92743	P83110
Q92743	O43464
Q92743	Q9JIY5
Q92743	P0C0V0
Q92743	P0AEE3
Q92743	O22609
Q77YG0	Q77YG0
Q77YG0	P69723
Q77YG0	P12504
Q3KK29	Q3KK29
P53064	P53064
Q96LC9	Q96LC9
P40074	P40074
Q8BGV8	Q8BGV8
Q8BGV8	Q9NQG6
P62806	P62806
P62806	P62805
P62806	P02309
P62806	P62803
P51787	P51787
P97887	P97887
P97887	G3HNF2
P22149	P22149
Q8VE28	Q8VE28
Q8VE28	Q969F2
Q9BRP8	Q9BRP8
Q8IWE2	Q8IWE2
P06802	P06802
Q495M9	Q495M9
P32841	P32841
P25367	P25367
O55222	O55222
O55222	Q13418
Q6L545	Q6L545
Q6L545	Q9MAA7
Q6L545	Q976W8
O94733	O94733
O14713	O14713
Q8IWR1	Q8IWR1
Q9VMA3	Q9VMA3
Q16548	Q16548
Q06159	Q06159
P53855	P53855
P32621	P32621
P18887	P18887
O52623	O52623
O75689	O75689
O75689	Q8CGU4
O75689	Q9XXH8
Q5SR56	Q5SR56
P25587	P25587
P0DMC7	P0DMC7
P47023	P47023
P72758	P72758
Q6XVX6	Q6XVX6
Q9Y5R4	Q9Y5R4
Q8TAF3	Q8TAF3
Q5SW96	Q5SW96
Q5SW96	D3ZAR1
P32897	P32897
Q9H477	Q9H477
Q9Z2B5	Q9Z2B5
P27487	P27487
Q9X4D0	Q9X4D0
P33338	P33338
P42704	P42704
D1MYR7	D1MYR7
D1MYR7	P29366
Q8NC96	Q8NC96
Q8NC96	Q9D1J1
Q8NC96	Q9CR95
Q8IVH4	Q8IVH4
Q9UGJ1	Q9UGJ1
P14784	P14784
P18852	P18852
Q96E11	Q96E11
Q9NS82	Q9NS82
Q9NS82	Q92536
Q9NS82	Q22397
Q9NS82	P82251
Q9NP66	Q9NP66
Q9NP66	Q9P0W2
Q68FM7	Q68FM7
Q68FM7	O15085
Q68FM7	Q92888
Q6UVY6	Q6UVY6
O94534	O94534
Q8WWB3	Q8WWB3
Q8WWB3	Q96IM9
P40368	P40368
P0AG86	P0AG86
Q9H8T0	Q9H8T0
Q9M0K4	Q9M0K4
Q9M0K4	P27900
Q9M0K4	P10242
Q9M0K4	Q9FE25
Q8S2T0	Q8S2T0
P14291	P14291
P55034	P55034
P55034	P55036
P55034	P38886
Q9USJ7	Q9USJ7
Q9BRJ9	Q9BRJ9
P05455	P05455
Q8IZU0	Q8IZU0
Q68D85	Q68D85
Q9UBD9	Q9UBD9
Q9XY09	Q9XY09
O76064	O76064
O00299	O00299
O00299	O95833
O35324	O35324
O35324	O60880
Q15459	Q15459
Q92831	Q92831
P53192	P53192
P33520	P33520
P60409	P60409
P60409	P60410
P60409	P60411
P60409	P60369
P60409	P60331
P60409	P60370
P62841	P62841
Q13191	Q13191
Q13191	Q3TTA7
Q13191	P22681
Q96NY9	Q96NY9
O60934	O60934
P22033	P22033
P11532	P11532
P15382	P15382
Q79PF4	Q79PF4
Q79PF4	Q79V60
P05649	P05649
P57055	P57055
O75791	O75791
O75791	O89100
O75791	Q60631
O75791	P62993
O75791	Q07883
O75791	P62994
O75791	O43639
O75791	P16333
O75791	Q99M51
Q9FMP0	Q9FMP0
P74596	P74596
Q8VIG1	Q8VIG1
P12003	P12003
P12003	Q64727
P12003	P18206
O27564	O27564
P11972	P11972
P60321	P60321
P19814	P19814
P19814	Q62313
O43301	O43301
O95400	O95400
Q9Y5Z0	Q9Y5Z0
Q9Y5Z0	P56817
P39014	P39014
P39014	P87053
P39014	P63005
P39014	P43034
P39014	Q9Y297
P39014	Q91854
P39014	Q9UKB1
P39014	Q3ULA2
P39014	P25382
P48165	P48165
P48165	P36382
P48165	P08050
P48165	P17302
P0CY08	P0CY08
Q9H944	Q9H944
Q12830	Q12830
P26480	P26480
P26480	P00579
P26480	P9WGI1
P26480	P0A2E6
P26480	P13445
Q9P2K6	Q9P2K6
P48837	P48837
P48837	P52948
Q62083	Q62083
Q62083	Q9EP80
Q62083	Q9NRD5
Q62083	Q80VC8
O75348	O75348
O75912	O75912
O75912	O08560
P52789	P52789
P52789	P19367
Q6PHW0	Q6PHW0
Q99417	Q99417
Q9BXV9	Q9BXV9
Q8TAC1	Q8TAC1
Q06708	Q06708
Q9Z0H7	Q9Z0H7
Q9Z0H7	O95999
Q9Z0H7	Q66677
Q9UER7	Q9UER7
Q9UER7	O35613
C0H480	C0H480
O61667	O61667
P27637	P27637
P23284	P23284
P23284	P30405
P23284	Q99KR7
P23284	P49792
P23284	O43447
P06701	P06701
P22216	P22216
P22216	Q14680
P22216	P32485
P22216	Q09892
P22216	P53778
P22216	P18431
P22216	P49841
P22216	P49840
P22216	Q39011
P22216	O14757
P22216	P21965
P22216	Q99683
P22216	Q95SK9
P22216	Q8RWC9
P22216	P34244
P22216	O54992
P22216	Q62101
P22216	Q15139
P22216	Q9BZL6
P22216	Q12263
P22216	P87050
P22216	Q7KZI7
P22216	Q8QGV3
P22216	P27448
P22216	Q804T2
P22216	P06782
P22216	Q38997
P22216	P54645
P22216	P54646
P22216	Q13131
P22216	Q9Y2K2
P22216	Q8CFH6
P22216	P57059
P22216	Q9BXA6
P28795	P28795
P11912	P11912
Q7A2B0	Q7A2B0
Q00684	Q00684
O75688	O75688
O75688	P35813
O75688	P49597
O75688	O04719
Q8TBB6	Q8TBB6
P05928	P05928
Q5BJU7	Q5BJU7
Q5BJU7	Q9Y6W5
Q8SAB7	Q8SAB7
P77499	P77499
P53943	P53943
P53943	P40475
P19623	P19623
Q9FN69	Q9FN69
Q9FN69	Q9CAD0
P24339	P24339
P24339	Q9P2E2
P24339	Q9Y496
P24339	O60333
P24339	P33173
P24339	F1M4A4
P24339	O42263
P24339	Q7Z4S6
P24339	P33176
P24339	Q2PQA9
P24339	O60282
P24339	P56536
P24339	Q99661
P24339	O00139
Q9NZL4	Q9NZL4
P11344	P11344
P11344	P14679
Q9LDU5	Q9LDU5
Q9LDU5	Q9C9E3
Q9LDU5	Q9M246
Q9LDU5	Q93ZM9
Q9LDU5	Q9C5K8
P48588	P48588
P70372	P70372
P70372	Q15717
Q14247	Q14247
Q14247	Q66HL2
Q14247	Q60598
Q14247	P14317
P22027	P22027
P40381	P40381
Q03103	Q03103
Q03103	Q96HE7
Q9XYF4	Q9XYF4
Q9UJC3	Q9UJC3
Q9UJC3	Q86VS8
Q9UJC3	Q96ED9
Q94AH9	Q94AH9
P10727	P10727
P10727	P17903
Q9BXN2	Q9BXN2
Q9BXN2	P26718
Q9BXN2	Q8NC01
P0AF36	P0AF36
P53067	P53067
P50150	P50150
P50150	Q9UBI6
P50150	P50151
Q96S82	Q96S82
P35248	P35248
P54274	P54274
P54274	P70371
Q9JHI9	Q9JHI9
P78346	P78346
Q9NQX0	Q9NQX0
Q9NQX0	Q9GZV8
Q92574	Q92574
Q92574	Q86WV8
Q9LZP8	Q9LZP8
Q9LZP8	Q9SJN0
Q9LZP8	Q84JK2
Q9LZP8	Q9M7Q2
P06858	P06858
Q16630	Q16630
Q16630	Q8N684
O88350	O88350
Q9FNZ5	Q9FNZ5
P01730	P01730
P01730	P06332
P59998	P59998
P0AEF0	P0AEF0
Q9NZ52	Q9NZ52
Q9NZ52	Q9UJY5
Q9NZ52	Q9UJY4
Q9NZ52	O60784
Q9NZ52	O75674
P55087	P55087
P55087	P41181
P55087	P06624
P55087	P56402
P55087	P55064
P55087	P29972
P55087	Q13520
Q8N5H7	Q8N5H7
Q8N5H7	Q9QZS8
Q8N5H7	O75815
P73081	P73081
Q5SWA1	Q5SWA1
Q96MT8	Q96MT8
Q96MT8	Q05D60
P50914	P50914
P21359	P21359
O75787	O75787
Q8IZ13	Q8IZ13
Q9NYB9	Q9NYB9
Q9NYB9	Q9P2A4
Q9NYB9	Q8IZP0
P14598	P14598
P14598	Q5TCZ1
Q9GZM8	Q9GZM8
Q9GZM8	Q9ERR1
Q9GZM8	Q9CZA6
Q9GZM8	Q9NXR1
Q7BSV8	Q7BSV8
Q9H4F8	Q9H4F8
Q8WXH0	Q8WXH0
Q8WXH0	Q6ZWQ0
P00751	P00751
P00751	P06681
P38637	P38637
Q9HC77	Q9HC77
Q12149	Q12149
O43490	O43490
Q9BXL7	Q9BXL7
Q9BXL7	Q9H257
Q9BXL7	Q9BWT7
P53135	P53135
P54198	P54198
P54198	Q5R1S9
P54198	Q13112
P54198	P32479
Q9EQG5	Q9EQG5
Q04230	Q04230
Q96KB5	Q96KB5
Q15628	Q15628
Q9RA63	Q9RA63
Q9RA63	P37571
Q9BXG8	Q9BXG8
O43281	O43281
P09874	P09874
P09874	P11103
Q9UQ80	Q9UQ80
P13646	P13646
P13646	A1A4E9
P13646	P19012
P13646	O76015
P13646	Q15323
P13646	Q14525
P13646	Q6A162
P13646	P05783
P13646	Q04695
P13646	P08727
P13646	P35900
P13646	Q13515
P75862	P75862
P04264	P04264
P04264	P02538
P04264	Q5XKE5
P04264	Q14533
P04264	P78385
P04264	O43790
P04264	P35908
P04264	P19013
P04264	P11679
P04264	P05787
P04264	Q7L4M3
P04264	P17661
P04264	P14136
P04264	P84198
P04264	P08670
P04264	P31000
P03586	P03586
P40549	P40549
Q6PJQ5	Q6PJQ5
Q6PJQ5	Q6PIV2
Q6PJQ5	Q12948
Q6PJQ5	O43638
Q6PJQ5	Q9NU39
Q6PJQ5	O00358
Q6PJQ5	P32314
Q6PJQ5	O15409
Q6PJQ5	Q9H334
Q6PJQ5	Q9BZS1
Q6PJQ5	Q99JB6
P14016	P14016
P11065	P11065
Q9NTI5	Q9NTI5
Q9NTI5	Q29RF7
P10728	P10728
P10728	P17904
P0A2M9	P0A2M9
P0A2M9	Q8VSP9
Q9XGN1	Q9XGN1
Q66K41	Q66K41
Q9NP79	Q9NP79
Q9UKT5	Q9UKT5
Q9GZX6	Q9GZX6
P38323	P38323
P38323	P0A6H1
Q6ZVD7	Q6ZVD7
Q6NZQ4	Q6NZQ4
P33313	P33313
Q5BVD1	Q5BVD1
Q96MV1	Q96MV1
Q99471	Q99471
Q99497	Q99497
Q18490	Q18490
P49458	P49458
O94979	O94979
Q14CZ7	Q14CZ7
Q05080	Q05080
P11684	P11684
P03230	P03230
P03230	Q1HVB3
P51843	P51843
Q9H0P0	Q9H0P0
Q10225	Q10225
Q10225	Q969K4
Q8IY42	Q8IY42
Q9H6X2	Q9H6X2
Q9H6X2	A4QP34
Q96PC5	Q96PC5
P56528	P56528
O14727	O14727
P53950	P53950
Q9V637	Q9V637
P10443	P10443
P56855	P56855
P07992	P07992
Q9BSQ5	Q9BSQ5
P32320	P32320
P17555	P17555
P17555	P40123
P0C0F6	P0C0F6
P0C0F6	Q03228
P0C0F6	Q9C5U0
O15173	O15173
O15173	O00264
O41094	O41094
Q99ZV9	Q99ZV9
Q96F86	Q96F86
Q9NXR7	Q9NXR7
P41811	P41811
Q9FIG9	Q9FIG9
Q14627	Q14627
P53254	P53254
Q8IWV1	Q8IWV1
Q495A1	Q495A1
A5U0E5	A5U0E5
A5U0E5	Q9WYT9
A5U0E5	P0AE88
A5U0E5	Q9AA62
A5U0E5	P0CAW8
A5U0E5	Q8KLS1
A5U0E5	P0AEV1
P27709	P27709
P30711	P30711
Q15078	Q15078
Q15078	P61809
Q9WUD1	Q9WUD1
Q9WUD1	Q9UNE7
Q9WUD1	Q9H6T3
P39935	P39935
Q13224	Q13224
Q13224	Q01097
Q13224	Q00959
Q92696	Q92696
O15315	O15315
O85239	O85239
O85239	Q56921
O85239	Q93KQ6
P17535	P17535
P17535	P17325
P17535	P05412
P17535	P18870
P29467	P29467
Q8IU60	Q8IU60
Q8IU60	Q8GW31
Q9BT92	Q9BT92
Q9UI95	Q9UI95
P40957	P40957
Q8WUH2	Q8WUH2
Q96DX5	Q96DX5
Q96DX5	Q9Y283
Q96DX5	Q96NW4
Q96DX5	Q3UMR0
P58004	P58004
O14836	O14836
P04610	P04610
P04610	P04326
P04610	P04608
P40337	P40337
A0A0H3NKV1	A0A0H3NKV1
A0A0H3NKV1	P0AF28
Q8IYF3	Q8IYF3
Q9GT24	Q9GT24
O59755	O59755
Q8R313	Q8R313
Q9UK45	Q9UK45
Q9UK45	P40204
Q9Y4F4	Q9Y4F4
Q6ZW61	Q6ZW61
Q9JMG6	Q9JMG6
Q9JMG6	P0C1Z6
O95639	O95639
O95639	Q06102
O43255	O43255
O43255	P61092
O43255	Q8IUQ4
Q14204	Q14204
P74241	P74241
O60504	O60504
P54619	P54619
Q8TEK3	Q8TEK3
P62750	P62750
Q9Y279	Q9Y279
Q9H773	Q9H773
Q6RW13	Q6RW13
Q9C0A6	Q9C0A6
Q8N944	Q8N944
Q96DZ7	Q96DZ7
Q9HD34	Q9HD34
O13710	O13710
P51023	P51023
P51023	P14921
P51023	P15036
P84092	P84092
P84092	Q96CW1
P84092	Q9BXS5
P84092	P35585
P98172	P98172
P98172	O13097
P98172	O35393
P98172	P52800
P98172	P52793
Q9NSI2	Q9NSI2
Q9H079	Q9H079
P23396	P23396
A6NFY7	A6NFY7
Q9H0E2	Q9H0E2
Q9H0E2	Q9QZ06
Q02241	Q02241
Q02241	Q8MQ03
Q02241	O95235
Q02241	Q27IK7
Q02241	Q9NQT8
Q02241	Q96L93
O15372	O15372
Q9BTP7	Q9BTP7
Q9Y6W8	Q9Y6W8
Q13322	Q13322
Q13322	Q14449
Q13322	O88900
Q13322	Q03160
Q13322	Q14451
Q13322	Q70E73
Q13322	Q8R5A3
Q13322	Q7Z5R6
Q96KN1	Q96KN1
Q53HL2	Q53HL2
P29590	P29590
P29590	Q15156
Q16633	Q16633
P0DKH5	P0DKH5
P0DKH5	Q75WV4
P61960	P61960
Q8IX90	Q8IX90
P10412	P10412
A4V2Z1	A4V2Z1
P03950	P03950
Q99L02	Q99L02
A2AM29	A2AM29
A2AM29	P42568
A2AM29	Q03111
Q9UNA4	Q9UNA4
Q9UNA4	Q9Y253
P58340	P58340
P58340	Q15773
Q8NHZ8	Q8NHZ8
Q8NCY6	Q8NCY6
Q7Z614	Q7Z614
P49021	P49021
Q9UBK5	Q9UBK5
P53267	P53267
Q96DV4	Q96DV4
Q9Y3C4	Q9Y3C4
O13836	O13836
Q01147	Q01147
Q01147	P16220
P52981	P52981
Q14995	Q14995
Q14995	Q6NSM0
Q83YM6	Q83YM6
Q62225	Q62225
Q62225	O14508
Q62225	O35717
Q62225	O35718
Q62225	O00459
Q62225	P23726
Q62225	P26450
Q62225	Q92569
Q62225	Q63787
Q62225	P23727
Q01477	Q01477
P53918	P53918
P21757	P21757
O43865	O43865
O43865	P23526
O94829	O94829
P38960	P38960
O75381	O75381
O75381	Q642G4
P0ADV9	P0ADV9
P15917	P15917
P00966	P00966
P00966	P77973
Q14749	Q14749
Q9BQF6	Q9BQF6
Q92504	Q92504
O54724	O54724
O54724	Q6NZI2
Q5XIQ4	Q5XIQ4
Q5XIQ4	Q9LYW5
Q5XIQ4	Q9S752
Q9P0K1	Q9P0K1
Q9P0K1	Q9BZ11
O30916	O30916
P14003	P14003
P14003	Q01068
P14003	P13097
P14003	Q01070
P14003	Q01071
P14003	P13096
O43541	O43541
O43541	O35182
O43541	O15105
P97310	P97310
P97310	P49736
P97310	Q61881
P97310	P33993
P97310	Q9UXG1
P97310	Q14566
P97310	P25206
P97310	P49718
P04618	P04618
P04618	P69718
P04618	P04620
Q5VU43	Q5VU43
Q96PB7	Q96PB7
P52918	P52918
P17798	P17798
P52919	P52919
A1Z7K9	A1Z7K9
Q86VP1	Q86VP1
Q86VP1	Q13137
Q6NUQ1	Q6NUQ1
Q9UNZ2	Q9UNZ2
Q9UNZ2	O35987
Q9UNZ2	Q14CS0
Q9UNZ2	Q0KL01
P38910	P38910
P38910	P0A6F9
Q15051	Q15051
Q9NEZ7	Q9NEZ7
Q8WWW0	Q8WWW0
Q8WWW0	Q5EBH1
Q8WWW0	Q86WH2
Q8WWW0	Q9NS23
Q8UZC1	Q8UZC1
Q99814	Q99814
P0A9X4	P0A9X4
P0A9X4	Q9WZ57
Q9GZN1	Q9GZN1
Q5FBB7	Q5FBB7
P40727	P40727
P40727	Q56844
Q6PD74	Q6PD74
Q8IV13	Q8IV13
Q8IYV9	Q8IYV9
Q92947	Q92947
P09210	P09210
P09210	O15217
O43663	O43663
Q4KLP8	Q4KLP8
